id	filename	md5	size	state
017d71aa-0999-4d8e-9cb4-88b9013e61eb	c6683fc6-49f4-4e53-94ac-251799c2c638.rna_seq.augmented_star_gene_counts.tsv	98cdcdd92feca94d1e15defbc2f84081	4242722	validated
03a1a105-4856-4e5c-b537-508bdbda50b5	02bbe1b1-44ff-426b-a40e-47a01bc4cf7d.rna_seq.augmented_star_gene_counts.tsv	b14544f95a55d4916cd5121b61e3bfb8	4250160	validated
040d00da-2bc9-49d4-bf6c-b4515b6a2bbf	d4f91697-1c39-4398-bf2f-85217a22ddff.rna_seq.augmented_star_gene_counts.tsv	6dcbb58195ba2563da2c63430cf3d018	4241540	validated
046fe29e-7c99-4093-8565-f2f205a00796	61f811cf-9dc1-4f48-ad62-c3ebfd1f0847.rna_seq.augmented_star_gene_counts.tsv	9279b8d7ff63ceede7a0374d05bb1da2	4243915	validated
0648c6fc-df6d-450a-a5a0-e5655febbdf1	f532a6be-de3e-420c-960a-23627589e7ad.rna_seq.augmented_star_gene_counts.tsv	e00657cea54665d6777e038af0d8c5f5	4231354	validated
0972f396-9045-4faa-98f8-e8c3e02f9901	37157138-01ef-49a5-bc74-c45feaf411e2.rna_seq.augmented_star_gene_counts.tsv	3507d2d812abb9f61cd797432307a479	4257345	validated
09f1c0ee-ee22-435f-88c9-d9f5c936c45c	e55a506c-870f-4011-adfc-37eccbf5f17e.rna_seq.augmented_star_gene_counts.tsv	5fce5f30abd94d0443ddc25c55dab0c9	4238327	validated
09f9ebad-e7cd-4c20-9eab-8fd2066d9051	31c69703-e318-4e31-aae8-c6cfabe61bc3.rna_seq.augmented_star_gene_counts.tsv	482496c170ea4094573f142fc68cba9b	4244293	validated
0ba26ef1-7b7d-48c8-a593-75504769791c	65b4f81a-4439-4d82-ae25-68d63309b053.rna_seq.augmented_star_gene_counts.tsv	4375d9c376b1afbb9b835aa3961afa27	4263846	validated
0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa	bdba14fb-88aa-43b0-8c25-53948b9935b7.rna_seq.augmented_star_gene_counts.tsv	518eace9d4d12dc66d378770abbb0f00	4249842	validated
0c3ddae2-366f-4b21-ab46-a2cfe1963e42	0ef46de9-c9e7-42f0-92bf-c17dc2ede102.rna_seq.augmented_star_gene_counts.tsv	6ab5fc1c03b21622960b75432251a61b	4253191	validated
0d11c50a-8648-48ea-a107-e138a1d3e086	bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts.tsv	9e98790b2c61a368f8dc97f0d55baf6f	4233362	validated
0e89f9f0-419f-46e7-981d-781a1302e4be	98f19a00-fd01-46b1-a75d-f66522ebde2d.rna_seq.augmented_star_gene_counts.tsv	b83d212b0ea13e7675ef9d9cd1833343	4240405	validated
0ed77a2e-a2c9-4557-8ba3-2c8bade9b792	5842a066-d158-474e-a4db-034f5797d865.rna_seq.augmented_star_gene_counts.tsv	2e711c88d20f77ee4f2f2a19f42d4ef1	4228051	validated
0f0b1a31-1f88-40e0-bd25-320046de4970	9eb69ff7-492b-4ed3-8762-c25c3dffa1fe.rna_seq.augmented_star_gene_counts.tsv	382cb13386c9647ec105ee73601d086c	4248923	validated
104e3cb5-c6df-422b-a55f-6b19408594d4	2056c543-2f73-4a2f-995e-3af2dda7b514.rna_seq.augmented_star_gene_counts.tsv	6a9b5ab6f51dce916319b6c2d6930505	4238667	validated
1320db11-22a5-417f-8ec7-65c0bf4681a2	9926a02f-9fa7-42c9-bfa1-e6ec45018fed.rna_seq.augmented_star_gene_counts.tsv	7868110c22b25bcb07742c79a41a697c	4246161	validated
1479c033-ebe7-423d-8460-bbe84fd5ffb6	967fde0b-9c38-4c69-97f2-9640ebe1dc9a.rna_seq.augmented_star_gene_counts.tsv	086ffa491885cf44784476ba9ac8278c	4257770	validated
15f0e499-8d53-4e97-a392-334875d25cf4	467bd108-f391-4dd1-92de-43879822400d.rna_seq.augmented_star_gene_counts.tsv	a449648688482afd89a2479495859fd1	4260296	validated
165fe176-2dea-489f-92d6-34b0c6848312	16e1fcb7-863d-40c1-b2d6-365d519148f6.rna_seq.augmented_star_gene_counts.tsv	3bdc864b41972adadec334f5fb637ed1	4243558	validated
18b0bd2d-505f-4ecb-9bea-b52e6a74cebd	678aa892-0631-47cc-b19e-cdcef42cecb3.rna_seq.augmented_star_gene_counts.tsv	3cd4f631b375790b3dc75b3037e372d3	4241734	validated
19baf63b-8488-4b90-83b7-a6c671da0095	9440b088-b04e-4417-9543-5001b0a2b217.rna_seq.augmented_star_gene_counts.tsv	99c301cba4be8a232ca1169c21f875ce	4247063	validated
1aa289bb-8ac9-4e9e-be61-3164afbe06a2	fff3f42f-5e42-4653-b91b-1676f914e9fa.rna_seq.augmented_star_gene_counts.tsv	593338503511106320dc3260d44d1e9d	4244267	validated
1b98fd3e-d3e3-4ecc-9fe3-02600177efed	acb208ab-def4-4b55-b1c7-abe2130e61c9.rna_seq.augmented_star_gene_counts.tsv	1a1ad91956c97af6e1df9547365bb22d	4225415	validated
1ce0d66a-176d-4d8a-b1c4-64d847e299be	ed108cc1-3b34-4ee5-b029-48b80ccaae19.rna_seq.augmented_star_gene_counts.tsv	c85cfa4ef882c382b7c3b92ae7d632f2	4258379	validated
